Order_ID,Customer_ID,Customer_Age,Customer_Gender,City,Area,Restaurant_ID,Restaurant_Name,Cuisine_Type,Order_Date,Order_Time,Delivery_Time_Min,Distance_km,Order_Value,Discount_Applied,Final_Amount,Payment_Mode,Order_Status,Cancellation_Reason,Delivery_Partner_ID,Delivery_Rating,Restaurant_Rating,Order_Day,Peak_Hour,Profit_Margin
ORD000001,CUST6948,19,Male,,Central,RES936,Restaurant_29,Chinese,10/20/2024,00:00,187,15.75,,,,UPI,Delivered,None,DP563,5,4.4,Weekend,TRUE,0.13
ORD000002,CUST6515,,Female,Chennai,North,RES689,Restaurant_419,Chinese,08-12-2024,00:00,20,29.5,4869,20,4849,COD,Delivered,None,DP369,5,4.7,Weekday,TRUE,0.48
ORD000003,CUST1765,,Male,Delhi,,RES723,Restaurant_244,Arabian,12-08-2024,00:00,207,,757,20,737,Wallet,Delivered,None,DP580,4,4.9,Weekend,TRUE,0.08
ORD000004,CUST2744,,Male,Mumbai,Central,RES951,Restaurant_178,Chinese,10-08-2024,00:00,143,15.68,,,,UPI,Cancelled,Late Delivery,DP155,2,3.4,Weekday,,0.04
ORD000005,CUST4389,57,Female,Chennai,South,RES419,Restaurant_262,Chinese,02-04-2024,00:00,51,9.6,372,20,352,Card,Delivered,None,DP728,2,4.4,Weekend,FALSE,0.12
ORD000006,CUST3161,37,Other,Chennai,East,RES810,Restaurant_153,Mexican,07-09-2024,00:00,56,4,,300,,Card,Delivered,None,DP119,3,4.6,Weekday,TRUE,0.24
ORD000007,CUST2307,40,Other,Delhi,,RES333,Restaurant_302,Chinese,2/14/2024,00:00,273,5.77,,0,,UPI,Delivered,None,DP624,2,4.5,Weekday,,0.02
ORD000008,CUST5865,,Male,,North,RES696,Restaurant_41,Chinese,5/26/2024,00:00,,21.69,3506,20,3486,UPI,Delivered,None,DP316,5,3.8,Weekend,,0.18
ORD000009,CUST4356,,Other,Delhi,Central,RES780,Restaurant_155,Italian,09-07-2024,00:00,,8.55,525,100,425,,Delivered,None,DP531,2,3.7,Weekend,TRUE,0.08
ORD000010,CUST2404,,Female,,South,RES155,Restaurant_368,Chinese,1/22/2024,00:00,,32.54,4691,50,4641,,Delivered,None,DP338,4,4.5,Weekday,TRUE,0.03
ORD000011,CUST5357,,Female,Chennai,Central,RES592,Restaurant_237,Chinese,6/22/2024,00:00,31,,4881,100,4781,Card,Delivered,None,DP498,1,4,Weekend,,0.18
ORD000012,CUST2651,,Female,Chennai,South,RES230,Restaurant_43,Arabian,09-03-2024,00:00,233,,,100,,Wallet,Delivered,None,DP530,3,3,Weekday,FALSE,0.22
ORD000013,CUST8703,,Male,Bangalore,,RES320,Restaurant_117,Arabian,6/22/2024,00:00,266,,417,20,397,COD,Delivered,None,DP713,1,3.8,Weekend,TRUE,0.22
ORD000014,CUST6301,,Male,Chennai,East,RES816,Restaurant_328,Chinese,12-05-2024,00:00,294,,,50,,Card,Delivered,None,DP528,,4.4,Weekday,TRUE,0.25
ORD000015,CUST8064,28,,Delhi,East,RES418,Restaurant_455,Mexican,5/15/2024,00:00,,2.26,4017,300,3717,UPI,Delivered,None,DP219,4,4.8,Weekday,FALSE,-0.01
ORD000016,CUST7871,,,Delhi,,RES511,Restaurant_169,,1/14/2024,00:00,214,28.11,,20,,,Cancelled,Restaurant Issue,DP590,,4.1,Weekend,FALSE,0.42
ORD000017,CUST8661,51,Female,,South,RES311,Restaurant_258,Mexican,04-03-2024,00:00,,3.89,4218,20,4198,,Delivered,None,DP165,1,3.2,Weekday,TRUE,0.26
ORD000018,CUST2861,,,Hyderabad,West,RES562,Restaurant_51,Arabian,7/26/2024,00:00,,,,20,,Card,Delivered,None,DP721,5,3.4,Weekday,FALSE,-0.09
ORD000019,CUST1044,52,Female,Delhi,East,RES568,Restaurant_43,Chinese,03-06-2024,00:00,,,,0,,Card,Delivered,None,DP847,1,3,Weekday,,-0.16
ORD000020,CUST8005,53,Male,Bangalore,East,RES876,Restaurant_227,Mexican,02-04-2024,00:00,,24.04,,100,,COD,Delivered,None,DP653,5,5.4,Weekend,TRUE,0.29
ORD000021,CUST1786,,,Mumbai,North,RES434,Restaurant_499,,10-12-2024,00:00,139,2.14,355,100,255,Wallet,Delivered,None,DP525,,4.5,Weekend,FALSE,-0.11
ORD000022,CUST6963,,Female,Delhi,North,RES830,Restaurant_449,Arabian,7/30/2024,00:00,41,2.72,1046,300,746,Card,Delivered,None,DP898,5,3.1,Weekday,FALSE,0.01
ORD000023,CUST5781,19,Other,Bangalore,South,RES127,Restaurant_293,Arabian,6/15/2024,00:00,22,5.11,1060,50,1010,UPI,Delivered,None,DP146,5,4.9,Weekend,,0.37
ORD000024,CUST8146,30,,Bangalore,North,RES894,Restaurant_374,Chinese,3/25/2024,00:00,,3.41,4014,,,UPI,Delivered,None,DP662,2,3.4,Weekday,TRUE,0.39
ORD000025,CUST9940,45,Other,Chennai,,RES953,Restaurant_189,Italian,11-07-2024,00:00,122,22.68,687,,,Wallet,Delivered,None,DP416,4,5.1,Weekday,TRUE,0.45
ORD000026,CUST2566,24,Female,Delhi,North,RES371,Restaurant_154,Indian,4/22/2024,00:00,209,6.61,483,20,463,Card,Delivered,None,DP425,1,5.2,Weekday,FALSE,-0.01
ORD000027,CUST5294,42,Other,Chennai,South,RES247,Restaurant_47,,10/30/2024,00:00,177,7.17,917,,,Wallet,Delivered,None,DP374,3,4.3,Weekday,TRUE,0.16
ORD000028,CUST4677,34,Other,Mumbai,North,RES402,Restaurant_66,Mexican,5/14/2024,00:00,56,1.52,,100,,UPI,Delivered,None,DP725,3,5.3,Weekday,TRUE,-0.05
